outletRiverId,groupId
110532420,103
110535822,102
110539759,102
110542390,102
110544170,103
110545005,102
110555505,102
110558618,103
110559437,102
110560758,102
110564764,102
110566116,102
110570000,102
110575184,102
110581962,102
110583064,102
110584376,102
110587151,102
110592245,102
110598804,102
110600121,102
110601494,102
110609294,102
110609529,102
110610790,101
110614695,102
110616010,102
110619803,102
110619868,102
110619994,102
110622493,102
110623726,102
110625049,102
110625059,102
110631607,102
110631608,102
110631653,102
110632920,102
110632955,102
110636856,102
110636857,102
110639473,102
110639652,101
110639664,101
110640972,101
110641003,102
110646040,102
110647352,102
110647528,102
110651508,101
110656684,101
110659160,102
110660646,101
110661998,102
110663113,102
110667025,102
110667031,102
110667090,102
110668340,102
110669684,102
110670959,102
110672271,102
110673766,101
110673808,102
110676259,102
110678886,102
110680360,102
110685404,102
110688025,102
110688199,102
110689484,102
110690738,102
110690750,102
110695910,102
110696080,102
110701222,102
110701301,102
110703768,102
110703954,101
110706389,102
110706463,102
110707772,102
110709013,102
110709037,102
110709065,102
110710365,102
110710382,102
110711643,102
110715722,102
110716955,102
110717063,102
110719509,102
110721032,102
110724763,102
110726093,102
110730185,101
110731469,102
110732808,101
110735438,102
110738060,102
110740503,102
110741925,102
110748568,101
110751038,102
110751050,102
110752408,102
110753623,102
110753722,102
110759017,102
110760266,102
110762913,102
110762955,101
110765637,101
110768126,102
110768231,101
110769491,102
110770741,102
110773344,102
110774749,101
110774803,102
110777283,102
110778645,102
110778663,102
110779998,102
110780054,101
110782580,102
110783923,102
110783959,102
110787906,102
110789101,102
110790391,102
110791737,102
110794448,102
110794467,102
110798388,102
110799729,101
110800855,102
110803570,102
110808889,102
110818063,101
110819312,102
110819357,101
110823163,102
110823306,102
110824544,102
110828485,102
110829894,102
110831079,102
110842994,101
110850875,102
110852170,102
110853412,102
110853500,102
110858692,102
110862667,101
110866626,101
110870540,102
110873059,102
110879715,102
110912515,102
120011639,107
120018292,107
120024945,107
120049901,107
120051551,107
120054881,107
120059873,107
120081502,107
120093133,107
120094797,107
120094812,107
120099801,107
120101456,107
120104782,107
120104783,107
120104797,107
120106450,107
120114763,107
120118085,107
120121418,107
120128080,107
120131402,107
120134731,107
120138053,107
120146379,107
120153032,107
120154691,107
120154696,107
120158028,107
120161353,107
120163017,107
120169673,107
120171333,107
120177990,107
120179656,107
120184629,107
120184646,107
120186292,107
120187974,107
120189622,107
120189636,107
120194617,107
120194631,107
120211215,107
120211237,107
